id,state,TMed13,TMed14,TMed15,TMed16,TMed17,TMed18,TMed19,TMed20,TMed21,TMed22,TMed23,TMedTotal
1,Aguascalientes,17.126013986013984,18.14104683195592,18.18023415977961,17.961478919631094,18.563274044795783,17.648545049622786,19.30180162613205,17.44637103228004,17.430304366415477,17.266373288873286,17.218190826175512,17.843966739243232
2,Baja California,19.03725574194324,21.889426406926408,21.205454545454547,21.46354797979798,21.389222999223,20.04060637835625,21.793271922983426,19.761506385276945,19.84748556998557,22.49001851851852,17.49210383055328,20.58271820718356
3,Baja California Sur,22.737448957661723,24.945075757575754,24.679345730027546,24.74622474747475,24.520416666666662,23.225291655053955,25.666163351703705,22.696706771183216,23.496386634199133,25.25891812865497,22.65558498681064,24.057051217001096
4,Campeche,26.60418703160639,27.47023809523809,28.148076923076925,28.216666666666665,28.12371794871795,27.00516518525905,28.00274511494,27.68299275891873,27.366969696969697,27.30371995820272,27.982843221842597,27.627938418312624
5,Chiapas,24.79201515151515,25.997021276595746,26.47505344139065,26.58256467110125,26.39162878787879,24.989096038944403,25.510473929249105,25.309496361960846,24.839787450921172,24.252235458386536,24.34092933020168,25.407300172558667
6,Chihuahua,15.758100439612068,19.640407196969697,19.331510224193156,19.81848905723906,20.460956790123458,18.48111657566799,20.24793755780926,18.87126208193015,19.101563766920908,19.506138768638767,15.484737739053866,18.791110927105308
7,Coahuila de Zaragoza,18.70969215969216,21.7264367816092,22.13421281783351,22.27435897435897,22.52525252525252,20.966372723958912,23.984585150671084,22.13179575646529,22.45763541336712,22.51202077594123,21.88248681075554,21.936804535445958
8,Colima,26.50448275862069,27.367651515151515,27.72020202020202,27.654444444444444,27.337222222222223,27.052888912336545,27.89866568046561,26.838030899835758,26.779891774891773,26.697001262626262,26.75496048460345,27.14594927049093
9,Distrito Federal,16.929241609644833,18.024304152637484,18.191666666666663,17.655530303030304,17.78037878787879,17.919336774463744,19.14286091967105,17.855250290125,17.155457637600495,18.277502946127942,18.701595048146057,17.966647739635672
10,Durango,16.917898152294704,19.216833964646465,19.082254689754688,19.216524822695035,19.45251578282828,17.954689041905624,19.8126070824236,18.410609115598177,18.7505684241132,18.568690155523488,17.722722863139452,18.64599219044752
11,Guanajuato,18.43862579281184,19.772580725285643,19.913565656565652,19.933186026936028,20.10679012345679,19.185621262744405,20.14611455433024,19.11200054748857,19.159434261974585,19.477401903651906,19.679410321837228,19.538611925189354
12,Guerrero,24.99559904381333,26.607538902538906,26.633881578947367,25.89592205842206,25.331969696969697,25.18740806685379,25.98047806078916,25.533538276212976,25.75549449521672,25.48728257147749,25.8911859760858,25.754572611575203
13,Hidalgo,17.568552188552186,20.067857142857143,20.413924963924963,20.367464114832536,20.86965709728868,17.971910086779182,19.581898714405725,19.25568719913448,18.8093265993266,19.551321513453868,19.596410435275764,19.45945545962101
14,Jalisco,20.615295815295816,21.756227272727276,22.10649766899767,22.37655876951332,22.670873737373736,20.955214846063384,22.33016129456306,21.72365348597343,21.56626025715578,22.13606640238663,21.8547144624608,21.82650218295554
15,MÃ©xico,14.900739044060964,15.737989267676769,15.714099718111346,16.008226381461675,16.00395028718558,14.89097475512616,15.534620672604724,14.928074300600231,14.936077835928582,15.509989552669552,15.876528837386024,15.458297332073784
16,MichoacÃ¡n de Ocampo,19.64026195131034,21.00440082644628,21.872449494949496,21.53672536172536,21.405170454545456,20.95495432518077,21.89063871704139,21.52134601568108,20.89486687147977,21.101462501462503,21.556772206141872,21.216277156905846
17,Morelos,21.307953862953863,22.527210858585857,23.04651362105908,22.686113769271664,22.63159295659296,21.78237537133525,22.595221696233363,22.22934388894831,21.883892851228914,22.266301501860717,22.298579496583223,22.29591817042302
18,Nayarit,26.22395933014354,27.403148148148148,27.41481481481481,27.84113997113997,27.4978507295174,25.696606971530304,27.230507530808463,26.429183666176005,25.660893217893214,26.169515993265996,25.176801135890777,26.613129228120787
19,Nuevo LeÃ³n,19.699721779195464,21.97664874551971,22.22489898989899,23.020950888192267,23.234983766233768,21.807291063862827,23.651590477637992,23.015160591805344,22.919029581529585,22.50830952380953,22.974406003136583,22.457544673711098
20,Oaxaca,24.120315521957316,24.401891891891893,24.88748526936027,24.973930211202937,23.91395534290271,23.86368364052693,23.85143446760012,23.39056906470537,22.788209836459835,23.158690978501102,23.785585333802977,23.921431959901042
21,Puebla,17.18901424963925,18.76799579124579,18.70377777777778,18.73641975308642,18.87177328843996,17.954939467853972,18.98371401667584,19.09521587033604,18.4058384262796,18.589786587681328,18.720113889767678,18.54714446534397
22,QuerÃ©taro,19.03088383838384,19.86977272727273,20.12549062049062,19.971130536130534,20.158236208236207,20.343497314530843,21.665247329092107,20.66852109602273,20.348853383458646,20.033825618825617,20.951972214035987,20.287948262407255
23,Quintana Roo,26.534618406285077,27.608703703703704,27.72813852813853,29.0625,28.660000000000004,27.38973853526859,29.08647037189473,27.88974362036364,27.44570707070707,27.17380602562421,27.550076219904383,27.829954771080907
24,San Luis PotosÃ­,20.92439311144229,23.149266666666666,23.49107808857809,23.109375,24.58522222222222,22.14914216569852,25.309667782121625,23.881056364676407,23.39303844900619,22.790398098633396,23.402154825150248,23.28952661583597
25,Sinaloa,24.730511201761203,26.671694855532063,26.60694684944685,26.718583394924856,26.84509238728751,25.40747411966292,26.995314525727043,26.147628985068703,25.61452197040432,26.04358677316424,25.82036960274002,26.14561133324725
26,Sonora,20.97306712962963,23.929165635951357,23.50492424242424,23.70375344352617,24.21206802063185,22.02658883763935,22.09700589172829,23.08072385147983,23.29581684188827,23.510679408062387,21.648080148757224,22.907443041065324
27,Tabasco,26.427225142582284,27.11447163947164,27.38175925925926,27.496497326203208,27.37575757575757,26.300141487602183,28.30297918680357,27.875901707102518,27.481924828643574,27.416756927879376,27.23923526137034,27.31024094024323
28,Tamaulipas,22.122612142934724,23.8122463768116,24.01930367504836,25.150658761528327,25.498662153449388,24.04742107325653,26.14813504294292,25.16068499448772,24.76719242517944,24.76934061468544,23.951036520640137,24.495208525542235
29,Tlaxcala,14.495218855218852,15.66111111111111,15.564225589225588,15.483636363636364,14.589727272727274,15.40893087199495,16.363118988613493,15.331649724568182,15.25719696969697,14.938344988344989,15.43740440111111,15.320960466931718
30,Veracruz de Ignacio de la Llave,22.206141287084684,23.15658992522629,23.57167224189952,23.632073474470733,23.68637329174094,23.20733212496758,24.46940998857713,23.811378216054877,23.851468524531025,23.31375857288779,22.92684072378025,23.43936712465644
31,YucatÃ¡n,26.11994141414141,26.714765993265992,27.72042748917749,27.456537598204267,27.15,26.584697261176853,27.77662492681933,27.198637114381317,26.90582945860724,27.019142215808884,27.42741355684021,27.097637911674816
32,Zacatecas,16.96467007739735,18.234986363636363,18.306991483462077,18.344149659863945,18.7733451536643,17.654424490177863,19.149202521191903,18.07533224546536,18.108173601090268,18.580964361427323,18.848487346355967,18.27642975488479
33,Total,20.313505,21.829234,22.003057,22.093799,22.139928,21.09253,22.439414,21.586638,21.408336,21.626647,21.298477,21.621051
